rarity,role,cost,skilltype,faction,illustrator,atk0,maxatk0,hp0,maxhp0,max,id,name,skill,engname,engskill
7,공격,25,액티브,미스터리,whoisshe,700,4904,467,3275,8179,17019,물놀이 쥐,강타 VI,Waterpark Rat,Smite VI
7,회복,25,액티브,판타지,나묘,584,4093,583,4086,8179,17055,큐라레 사서들,우정 VI,Librarians of Qurare,Friendship VI
7,공격,21,액티브,오리엔탈,Nardack,696,4878,463,3241,8119,17013,® 쌍자궁,폭격 VI,® Gemini,Bombard VI
7,방어,21,액티브,오리엔탈,비락,463,3244,696,4874,8118,17014,하치,방어 VI,Hachi,Protection VI
7,공격,20,액티브,판타지,선화,678,4746,453,3171,7917,17053,닥터 쉬나벨,분쇄 VI,Doctor Schnabel,Smash VI
6,공격,23,액티브,미스터리,코코립,667,4669,444,3109,7778,6429,결전의 미우,분노 V,Miu of the Day,Enrage V
6,회복,23,액티브,판타지,whoisshe,553,3872,554,3880,7752,6406,산타 로엘,보호 V,Santa Lowell,Shield V
7,공격,19,액티브,오리엔탈,카놀라유,664,4653,442,3098,7751,17008,전장의 장각,분쇄 VI,Warfare ZhangJue,Smash VI
7,회복,19,액티브,미스터리,ICE,553,3873,553,3873,7746,17015,물놀이 고양이,징벌 VI,Waterpark Cat,Punish VI
7,방어,19,패시브,판타지,길세,442,3100,663,4641,7741,17043,메이드 나르키소스,소생 VI,Maid Narcissus,Resurrect VI
7,방어,19,패시브,판타지,피카보살,442,3098,663,4641,7739,17021,타락의 아리엘,인내 VI,Unholy Ariel,Fortitude VI
7,회복,19,패시브,미스터리,마신황제,553,3873,552,3866,7739,17042,닥 할러데이,격려 VI,Doc Holliday,Encourage VI
7,공격,25,패시브,오리엔탈,POPQN,663,4645,441,3093,7738,17027,할로윈 사희,격노 VI,Halloween Sahee,Rage VI
7,공격,19,패시브,오리엔탈,Mirunai,662,4640,442,3098,7738,17045,정월 장자,격분 VI,Jeong-wol ZhuangZi,Frenzy VI
7,공격,19,패시브,SF,세발문어,663,4645,441,3093,7738,17031,파티의 모로,진노 VI,Dr.Moreau at Party,Wrath VI
7,방어,19,패시브,오리엔탈,나시,442,3100,662,4638,7738,17034,봉인된 장자,반격 VI,Sealed ZhuangZi,Retaliate VI
7,회복,19,패시브,미스터리,POPQN,552,3870,552,3868,7738,17018,물놀이 괴테,신성 VI,Waterpark Goethe,Sacred VI
7,회복,19,액티브,SF,마신황제,553,3871,552,3866,7737,17023,풀메탈 그라프 체펠린,정화 VI,Full Metal Graf Zeppelin,Purify VI
7,회복,19,액티브,SF,피카보살,553,3871,552,3866,7737,17032,파티의 파블로프,해제 VI,Pavlov at Party,Dispel VI
7,공격,19,패시브,판타지,길세,662,4638,442,3098,7736,17046,정령 실프,격앙 VI,Elemental Sylph,Excitement VI
7,회복,19,패시브,판타지,새우초밥,553,3873,551,3863,7736,17054,블라드 체페슈,평안 VI,Vlad the Impaler,Peace VI
7,공격,19,액티브,판타지,whoisshe,662,4638,442,3096,7734,17039,네페르티티,면역 VI,Nefertiti,Immune VI
7,공격,19,액티브,판타지,아리씨,663,4641,441,3093,7734,17028,죽음의 청기사,차단 VI,The Pale Horseman of the Apocalypse,Cancel VI
7,방어,19,패시브,판타지,POPQN,442,3094,662,4640,7734,17030,파티의 에리스,근성 VI,Eris at Party,Endurance VI
7,회복,19,패시브,SF,사과카라멜,552,3866,552,3868,7734,17033,파티의 록펠러,기도 VI,Rockefeller at Party,Prayer VI
7,회복,19,패시브,미스터리,ZIS,552,3866,552,3868,7734,17047,정령 샐러맨더,회개 VI,Elemental Salamandra,Contrite VI
7,공격,19,패시브,판타지,POPQN,662,4634,442,3098,7732,17038,돈 후앙,행운 VI,Don Juan,Lucky VI
6,회복,23,액티브,미스터리,GANIK,547,3831,547,3829,7660,6533,조니 링고,치료 V,Johnny Ringo,Cure V
6,회복,22,액티브,SF,마신황제,534,3743,535,3750,7493,6450,랫서팬더귀 피오나,치료 V,Red-panda-eared Fiona,Cure V
6,방어,23,액티브,오리엔탈,hakusai,427,2994,641,4492,7486,6367,아마쿠사 시로,역습 V,Amakusa Shiro,Counter V
6,방어,22,액티브,판타지,라쿠나,427,2991,642,4493,7484,6551,하피,난투 V,Harpy,Brawl V
6,방어,23,액티브,미스터리,"이말년, POPQN",427,2994,641,4489,7483,6390,이말년,와장창,Zilioner,Upside DDOWN!
6,공격,22,액티브,미스터리,SHIHYUN,639,4478,428,2995,7473,6552,야노슈 후냐디,분노 V,John Hunyadi,Enrage V
6,공격,22,액티브,판타지,사과카라멜,639,4477,427,2992,7469,6509,할로윈 좀비,고양 V,Halloween Zombie,Enhance V
6,공격,22,액티브,미스터리,먹는빵,641,4487,426,2982,7469,6549,이무기,속공 V,Imoogi,Swipe V
6,공격,21,액티브,SF,카르체트,629,4402,418,2928,7330,6517,파티의 델핀,분노 V,Delphine at Party,Enrage V
6,공격,21,액티브,오리엔탈,히사,628,4399,418,2930,7329,6526,나크시딜,속공 V,Naksidil,Swipe V
7,방어,20,액티브,판타지,김보라,417,2924,627,4394,7318,17035,파티의 아리엘,방어 VI,Ariel at Party,Protection VI
6,회복,21,액티브,오리엔탈,히사,523,3662,522,3656,7318,6412,구천현녀,치료 V,JiuTian XuanNu,Cure V
6,방어,21,액티브,SF,기어,418,2927,627,4390,7317,6482,물놀이 델핀,재생 V,Waterpark Delphine,Regenerate V
6,방어,21,액티브,SF,새우초밥,418,2930,626,4384,7314,6483,석유왕 록펠러,역습 V,Oil Emperor Rockefeller,Counter V
6,공격,21,액티브,SF,whoisshe,627,4393,416,2916,7309,6427,결전의 리자,고양 V,Lisa of the Day,Enhance V
6,회복,21,액티브,판타지,히사,522,3653,522,3655,7308,6481,물놀이 셀라,참회 V,Waterpark Sella,Repent V
6,회복,21,액티브,미스터리,나묘,520,3646,522,3656,7302,6492,예식의 마몬,심문 V,Mammon at Ceremony,Interrogate V
6,공격,23,액티브,SF,마신황제,626,4386,416,2912,7298,6321,메이드 피오나,흡혈 V,Maid Fiona,Drain V
6,방어,21,액티브,SF,코코립,416,2913,626,4384,7297,6505,마녀 델핀,난투 V,Witch Delphine,Brawl V
6,회복,23,액티브,미스터리,달랑게,521,3652,519,3634,7286,6307,웨딩 에리스,참회 V,Wedding Eris,Repent V
6,공격,24,액티브,SF,레피,623,4365,413,2894,7259,6266,산타 머스탱,KANG-TA!,Santa Mustang,KANG-TA!
6,방어,22,액티브,판타지,ICE,413,2892,621,4353,7245,6346,무인도의 드레이크,돌진 V,Uninhabited Ford,Charge V
6,회복,22,액티브,판타지,선화,516,3613,516,3616,7229,6375,학교의 셀라,치료 V,School Sella,Cure V
6,회복,23,액티브,미스터리,ZIS,511,3582,511,3577,7159,6238,라구엘,심문 V,Raguel,Interrogate V
6,방어,20,액티브,SF,anco,408,2856,614,4302,7158,6508,할로윈 모로,철벽 V,Halloween Dr.Moreau,Fortify V
6,회복,20,액티브,오리엔탈,송개,511,3577,510,3574,7151,6415,상고의 까치,참회 V,Upper ancient Magpie,Repent V
6,공격,20,액티브,미스터리,카르체트,612,4289,408,2861,7150,6464,개발자 베니,갈취 V,Dev. Benny,Extortion V
6,공격,20,액티브,판타지,제뉴,612,4287,408,2861,7148,6473,지니,분노 V,Genie,Enrage V
6,방어,20,액티브,오리엔탈,ZIS,408,2860,612,4287,7147,6454,전장의 조조,난투 V,Warfare Cao Cao,Brawl V
6,공격,20,액티브,미스터리,ICE,612,4289,408,2856,7145,6506,마녀 미우,강타 V,Witch Miu,Smite V
6,회복,20,패시브,오리엔탈,피카보살,510,3576,510,3569,7145,6524,쿠빌라이,치유 V,Qubilai,Heal V
6,공격,20,액티브,미스터리,송개,612,4286,408,2855,7141,6457,전장의 맹획,속공 V,Warfare MengHuo,Swipe V
6,회복,20,액티브,판타지,CTYPE,509,3567,510,3571,7138,6428,크누트 대왕,심문 V,Canute the Great,Interrogate V
6,방어,20,액티브,미스터리,카르체트,407,2854,611,4283,7137,6403,느와르 개츠비,역습 V,Noir. Gatsby,Counter V
6,방어,20,액티브,판타지,anco,407,2852,611,4281,7133,6399,바니 셀라,재생 V,Bunny Sella,Regenerate V
6,회복,20,액티브,미스터리,송개,508,3561,510,3571,7132,6445,강아지귀 베니,조작 V,Dog-eared Benny,Manipulate V
6,방어,20,액티브,미스터리,스노우볼,408,2858,610,4274,7132,6543,크세노폰,돌진 V,Xenophon,Charge V
6,회복,20,액티브,오리엔탈,송개,508,3561,509,3567,7128,6396,느와르 변학도,조작 V,Noir. Pyon,Manipulate V
6,방어,23,액티브,SF,NINGU,407,2854,609,4263,7117,6290,트윈 머스탱,재생 V,Twin Mustang,Regenerate V
6,공격,23,액티브,미스터리,박지은,610,4276,404,2830,7106,6280,오피스 미우,속공 V,Office Miu,Swipe V
6,회복,23,액티브,미스터리,ICE,508,3561,504,3534,7095,6271,열세 번째 고양이,치료 V,13rd. Cat,Cure V
6,회복,21,액티브,오리엔탈,폰단테,506,3548,505,3537,7085,6347,무인도의 장자,참회 V,Uninhabited ZhuangZi,Repent V
6,회복,21,액티브,판타지,CTYPE,505,3540,505,3535,7075,6353,무인도의 하이레딘,심문 V,Uninhabited Hayreddin,Interrogate V
6,공격,21,액티브,오리엔탈,은화,605,4238,403,2825,7063,6384,샤흐리야르,갈취 V,Shahryar,Extortion V
6,방어,19,액티브,미스터리,히사,400,2806,599,4193,6999,6532,뱃 매스터슨,방어 V,Bat Masterson,Protection V
6,회복,18,액티브,판타지,코코립,498,3486,500,3499,6985,6510,바바야가,아르카나,Baba Yaga,Arcana
6,방어,19,액티브,SF,GAMBE,399,2797,598,4187,6984,6451,고양이귀 에디슨,방어 V,Nekomimi Edison,Protection V
6,공격,19,액티브,판타지,새우초밥,598,4192,398,2788,6980,6530,부치 캐시디,흡혈 V,Buchi Cassidy,Drain V
6,방어,19,액티브,판타지,슬라정,399,2792,597,4185,6977,6496,® 이데아 플라톤,회피 V,® Idea Plato,Evade V
6,방어,19,액티브,오리엔탈,xx이나xx,398,2791,597,4185,6976,6414,헌원,방어 V,Huangdi,Protection V
6,공격,19,액티브,미스터리,망르,598,4190,397,2782,6972,6449,고양이귀 알프레드,다이너마이트,Nekomimi Alfred,Dynamite V
6,방어,19,액티브,오리엔탈,CTYPE,397,2782,598,4186,6968,6416,헌원의 응룡,철벽 V,Yinglong of Huangdi,Fortify V
6,회복,20,액티브,미스터리,폰단테,497,3482,498,3486,6968,6391,할로윈의 점술가,아르카나,Halloween Fortuneteller,Arcana
6,공격,19,액티브,SF,폰단테,596,4172,399,2794,6966,6413,몰랑이와 포드,강타 V,Ford with Molang,Smite V
6,방어,19,액티브,SF,ZIS,397,2780,597,4185,6965,6425,결전의 델핀,돌진 V,Delphine of the Day,Charge V
6,방어,19,액티브,미스터리,레나,398,2788,596,4177,6965,6537,마키아벨리,억압 V,Machiavelli,Suppress V
6,회복,19,액티브,오리엔탈,마끼아또,498,3488,496,3476,6964,6418,몰랑이와 장자,치유 V,ZhuangZi with Molang,Heal V
6,회복,19,액티브,오리엔탈,송개,497,3482,497,3478,6960,6514,파티의 까치,보호 V,Magpie at Party,Shield V
6,공격,18,패시브,미스터리,나묘,595,4170,395,2769,6939,6405,바니 스카페이스,맹폭 V,Bunny Scarface,Strafe V
6,방어,18,패시브,미스터리,ICE,396,2776,594,4162,6938,6419,에이전트 고양이,소생 V,Agent Cat,Resurrect V
6,회복,18,패시브,판타지,흑요석,494,3464,495,3470,6934,6430,정월 버지니아 울프,검은 개의 주시,Jeong-wol Virginia Woolf,Gaze of Dark Dog
6,공격,20,액티브,판타지,망르,595,4166,395,2767,6933,6349,무인도의 셀라,갈취 V,Uninhabited Sella,Extortion V
6,공격,20,액티브,SF,솔트,594,4159,395,2770,6929,6369,한가위 모로,고냥 V,Hangawi Dr.Moreau,EnNyance V
6,공격,21,액티브,판타지,새우초밥,594,4157,396,2771,6928,6337,마법소녀 돈키호테,고양 V,Magical girl Sella,Enhance V
6,방어,18,패시브,SF,코코립,396,2773,593,4153,6926,6441,디젤과 포드,반격 V,Diesel and Ford,Retaliate V
6,방어,20,액티브,미스터리,"이말년, 히사",395,2770,593,4153,6923,6386,말년의 우마왕,돌진 V,Bull Demon King of Zilioner,Charge V
6,공격,20,액티브,판타지,whoisshe,592,4147,396,2773,6920,6361,풀카넬리,강타 V,Fulcanelli,Smite V
6,방어,20,패시브,오리엔탈,송개,393,2755,591,4141,6896,6348,무인도의 해모수,인내 V,Uninhabited Hae Mo-su,Fortitude V
6,회복,22,액티브,판타지,키사,494,3461,490,3434,6895,6270,십이지 말,우정 V,12 Branches. Horse,Friendship V
6,방어,22,액티브,SF,anco,394,2760,590,4129,6889,6208,해적 모로,돌진 V,Pirate Dr.Moreau,Charge V
6,방어,18,패시브,미스터리,기어,389,2727,585,4099,6826,6446,하수인 1호 미우,인내 V,Pawn 1. Miu,Fortitude V
6,방어,18,액티브,미스터리,e-nya,390,2731,583,4086,6817,6471,®마법소녀 미우,불굴 V,®Magical girl Miu,Fearless V
6,방어,18,액티브,오리엔탈,마끼아또,389,2725,584,4092,6817,6456,전장의 화타,억압 V,Warfare Hua Tuo,Suppress V
6,공격,18,액티브,SF,POPQN,585,4095,388,2721,6816,6401,바니 HaaL9000,AE36 붕괴,Bunny HaaL9000,AE36 Collapse
6,방어,18,패시브,판타지,CTYPE,389,2724,584,4090,6814,6545,크리스틴,근성 V,Christine,Endurance V
6,방어,18,액티브,판타지,비락,389,2725,583,4084,6809,6516,파티의 셀라,골절 V,Sella at Party,Crack V
6,회복,18,패시브,오리엔탈,Mirunai,485,3400,486,3407,6807,6513,파티의 장자,회개 V,ZhuangZi at Party,Contrite V
6,회복,18,패시브,판타지,뮤즈,486,3404,485,3400,6804,6544,엘리야 카르마도스,기도 V,Eliya Karmados,Prayer V
6,회복,18,패시브,판타지,카르체트,486,3404,485,3400,6804,6556,니체,신성 V,Nietzsche,Sacred V
6,방어,18,패시브,오리엔탈,비락,387,2715,583,4086,6801,6523,샤쿤탈라,인내 V,Shakuntala,Fortitude V
6,방어,18,액티브,미스터리,CTYPE,388,2719,583,4081,6800,6402,느와르 이안,억압 V,Noir. Ian,Suppress V
6,방어,18,패시브,미스터리,산들,389,2725,582,4074,6799,6555,평강,반격 V,Pyeonggang,Retaliate V
6,회복,18,액티브,SF,폰단테,484,3394,486,3404,6798,6448,하수인 3호 델핀,보호 V,Pawn 3. Delphine,Shield V
6,공격,18,액티브,판타지,겨울비,582,4074,388,2721,6795,6539,햄릿,역공 V,Hamlet,CounterATK V
6,공격,23,액티브,SF,POPQN,613,4290,357,2503,6793,6209,해변의 HaaL9000,AE36 붕괴,HaaL9000 on the Beach,AE36 Collapse
6,회복,18,패시브,미스터리,ICE,484,3392,486,3401,6793,6531,와일드 빌,평안 V,Wild Bill,Peace V
6,회복,18,패시브,판타지,송개,485,3400,484,3392,6792,6534,정월 류드,신성 V,Jeong-wol Ryude,Sacred V
6,방어,19,액티브,오리엔탈,CTYPE,385,2699,580,4065,6764,6385,오승은,회피 V,Wu Cheng'en,Evade V
6,방어,19,액티브,판타지,폰단테,387,2710,578,4050,6760,6362,히파티아,철벽 V,Hypatia,Fortify V
6,회복,20,액티브,오리엔탈,코코립,482,3377,482,3379,6756,6328,후추,치유 V,Black Pepper,Heal V
6,공격,21,액티브,SF,마신황제,577,4044,386,2708,6752,6292,노틸러스,고양 V,Nautilus,Enhance V
6,회복,21,액티브,SF,CTYPE,482,3376,482,3376,6752,6293,비트루비우스,조작 V,Vitruvius,Manipulate V
6,방어,19,액티브,미스터리,마끼아또,384,2691,579,4056,6747,6350,무인도의 미우,방어 V,Uninhabited Miu,Protection V
6,회복,20,액티브,미스터리,튜훗,481,3368,482,3379,6747,6317,비헬드,우정 V,Viheld,Friendship V
6,방어,20,액티브,판타지,anco,388,2716,575,4026,6742,6302,웨딩 셀라,돌진 V,Wedding Sella,Charge V
6,회복,21,액티브,오리엔탈,POPQN,482,3376,480,3366,6742,6262,시크릿 사희,참회 V,Secret Sahee,Repent V
6,방어,20,액티브,오리엔탈,솔트,384,2691,578,4050,6741,6316,한신,재생 V,HanXin,Regenerate V
6,회복,21,액티브,미스터리,마신황제,480,3366,481,3373,6739,6219,해적 미우,우정 V,Pirate Miu,Friendship V
6,회복,21,액티브,SF,ZIS,481,3373,480,3364,6737,6282,오피스 델핀,보호 V,Office Delphine,Shield V
6,공격,19,액티브,판타지,카놀라유,576,4037,385,2697,6734,6363,필롤라오스,흡혈 V,Philolaus,Drain V
6,방어,21,액티브,판타지,NINGU,384,2691,577,4043,6734,6220,해적 셀라,재생 V,Pirate Sella,Regenerate V
6,회복,21,액티브,판타지,Mx2J,478,3352,478,3349,6701,6213,해군 로엘,치료 V,Navy Lowell,Cure V
6,공격,23,액티브,SF,마신황제,573,4011,381,2667,6678,6171,메이드 에디슨,강타 V,Maid Edison,Smite V
6,공격,18,패시브,SF,whoisshe,571,4001,381,2667,6668,6354,무인도의 리자,진노 V,Uninhabited Lisa,Wrath V
6,공격,18,패시브,판타지,여놔,571,3999,380,2666,6665,6381,학교의 베네딕토,행운 V,School Benedict,Lucky V
6,회복,17,패시브,판타지,여놔,476,3334,475,3326,6660,6507,마녀 셀라,격려 V,Witch Sella,Encourage V
6,회복,19,액티브,오리엔탈,여놔,476,3334,475,3325,6659,6392,나는나는 저팔계,치유 V,I'm I'm ZhuBajie,Heal V
6,방어,17,액티브,미스터리,anco,380,2659,571,3999,6658,6436,결전의 엘리자베스,불굴 V,Elizabeth of the Day,Fearless V
6,회복,18,패시브,미스터리,POPQN,476,3336,474,3322,6658,6357,무인도의 수성,Mercury,Uninhabited Mercury,Mercury
6,공격,17,패시브,미스터리,히사,569,3986,381,2670,6656,6497,예식의 사타나키아,진노 V,Satanachia at Ceremony,Wrath V
6,공격,17,액티브,판타지,인접,569,3986,381,2670,6656,6491,예식의 우리엘,폭격 V,Uriel at Ceremony,Bombard V
6,방어,17,패시브,SF,여놔,379,2655,571,4001,6656,6518,파티의 피오나,소생 V,Fiona at Party,Resurrect V
6,방어,17,액티브,미스터리,선화,380,2659,569,3989,6648,6525,신년 브라운 신부,도발 V,New year Father Brown,Provoke V
6,회복,17,패시브,오리엔탈,마끼아또,474,3321,475,3325,6646,6472,®마법소녀 팥쥐,회개 V,®Magical girl Patjwi,Contrite V
6,회복,17,패시브,SF,히사,474,3324,474,3321,6645,6434,결전의 몽고메리,회개 V,Montgomery of the Day,Contrite V
6,공격,17,액티브,오리엔탈,Cocoon,570,3990,379,2652,6642,6470,® 처녀궁,역공 V,® Virgo,CounterATK V
6,회복,17,패시브,미스터리,카르체트,475,3326,473,3316,6642,6462,개발자 미우,격려 V,Dev. Miu,Encourage V
6,회복,17,패시브,판타지,꼬리,475,3326,473,3316,6642,6469,노래하는 나이팅게일,기도 V,Singing Nightingale,Prayer V
6,방어,17,패시브,SF,인접,379,2657,569,3984,6641,6463,개발자 에디슨,반격 V,Dev. Edison,Retaliate V
6,회복,17,패시브,판타지,마신황제,474,3322,474,3319,6641,6490,예식의 사탄,평안 V,Satan at Ceremony,Peace V
6,방어,17,액티브,판타지,카르체트,379,2652,569,3988,6640,6489,릴리스,골절 V,Lilith,Crack V
6,방어,17,패시브,미스터리,ZIS,379,2657,569,3983,6640,6478,물놀이 스카페이스,근성 V,Waterpark Scarface,Endurance V
6,공격,17,패시브,판타지,코코립,568,3980,379,2657,6637,6484,카메하메하,행운 V,Kamehameha,Lucky V
6,공격,17,패시브,SF,롸엘,567,3974,380,2661,6635,6546,캐틀린 헬레브리안,격정 V,Catelyn Helebrian,Passion V
6,공격,17,패시브,SF,코코립,567,3973,379,2657,6630,6519,파티의 디젤,맹폭 V,Diesel at Party,Strafe V
6,방어,17,패시브,판타지,ICE,378,2646,568,3982,6628,6424,살로메,근성 V,Salome,Endurance V
6,회복,17,패시브,오리엔탈,스농이,473,3315,473,3310,6625,6504,할로윈 화장실 귀신,신성 V,Halloween Bathroom Ghost,Sacred V
6,공격,19,액티브,미스터리,MORRY,566,3965,377,2643,6608,6319,알프레드,다이너마이트,Alfred,Dynamite V
6,방어,20,액티브,미스터리,ZIS,378,2646,563,3941,6587,6269,사령 기린,돌진 V,Four Benevolent: Giraffe,Charge V
6,공격,20,액티브,오리엔탈,송개,571,4001,369,2585,6586,6260,시크릿 바쇼,고양 V,Secret Basho,Enhance V
6,공격,20,액티브,SF,ZIS,564,3950,376,2636,6586,6255,시크릿 델핀,흡혈 V,Secret Delphine,Drain V
6,회복,20,액티브,오리엔탈,망고망구,470,3292,470,3294,6586,6249,전장의 알렉산더,치유 V,Warfare Alexander,Heal V
6,공격,19,액티브,SF,송개,565,3958,375,2627,6585,6297,나이트 델핀,속공 V,Knight Delphine,Swipe V
6,공격,20,액티브,미스터리,anco,564,3950,376,2634,6584,6245,엘리자베스,속공 V,Elizabeth,Swipe V
6,회복,23,액티브,미스터리,솔트,470,3292,469,3288,6580,6128,산타 미우,치유 V,Santa Miu,Heal V
6,공격,20,액티브,SF,Mirunai,564,3950,375,2627,6577,6221,해적 델핀,강타 V,Pirate Delphine,Smite V
6,회복,18,액티브,미스터리,코코립,470,3294,469,3283,6577,6364,로저 베이컨,친목 V,Roger Bacon,Amity V
6,공격,22,액티브,판타지,JUNA,562,3935,371,2598,6533,6202,아이돌 셀라,고양 V,Idol Sella,Enhance V
6,회복,22,액티브,SF,SHIHYUN,466,3267,465,3260,6527,6193,언령의 메피스토펠레스,치유 V,Kotodama Mephistopheles,Heal V
6,회복,22,액티브,SF,마신황제,465,3256,466,3267,6523,6175,피오나,치료 V,Fiona,Cure V
6,회복,20,액티브,미스터리,레바,465,3255,464,3250,6505,6222,레바,참회 V,Reva,Repent V
6,공격,22,액티브,미스터리,코코립,557,3901,371,2603,6504,6172,메이드 미우,속공 V,Maid Miu,Swipe V
6,방어,17,패시브,SF,폰단테,372,2604,556,3892,6496,6408,바니 포드,인내 V,Bunny Ford,Fortitude V
6,회복,18,패시브,판타지,길세,464,3252,463,3243,6495,6296,프린세스 셀라,평안 V,Princess Sella,Peace V
6,방어,16,패시브,판타지,히사,370,2593,556,3898,6491,6444,부하 4호 로엘,수호 V,Servant 4. Lowell,Guard V
6,방어,18,패시브,미스터리,POPQN,371,2600,555,3887,6487,6341,마법소녀 괴테,반격 V,Magical girl Goethe,Retaliate V
