Number,FamilyName,GivenName,ResourceName,ImageIndex,SortOrder,AddedSeason,AddedAs,Sell,Fusion,NoneRewardCategory,RewardCategory,Cost,Sex,Faction,FusionType,Rarity,AllowSpecialView,SpecialViewType,CraftPenaltyExist,EasyBindAble,BaseCardExp,BaseExp,BaseCost,BaseHp,BaseAtk,BaseMaxLevel,MaxHp,MaxAtk,EnhanceCount,EnhanceIncRate,EvolveCount,EvolveIncLevel,EvolveReqPoint,Passive,SkillIndex,SkillLevel,PassiveSkillIndex,PassiveSkillLevel,Role,PortraitWidth,PortraitHeight,PortraitOffsetX,PortraitOffsetY,SpineScale,CollectionInvisible,WayToGet,CardDesc,Illustrator,WornItemNumber
1032,,임충,임충,1032,10320,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",6,0,1,0,1,,,,,0,100,100,137,90,40,689,451,5,5,0,20,"[10000, 15000, 2000000000]",1,11002,1,0,0,Tanker,512,512,0,0,0,0,,"말수는 적지만 의협심이 강한 장수.
성실하고 착한 성품에 비해 악명이 너무 높아 사람들이 두려워하고 있다.
고양이과 동물을 좋아하지만 부끄러워서 대신 표범을 데리고 다닌다.

원전: <수호지>",앵화룡,"[0, 0, 0, 0]"
1033,,피아사,피아사,1033,10330,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0]",5,0,4,0,1,,,,,0,100,100,101,99,40,505,499,5,5,0,20,"[10000, 15000, 2000000000]",0,3002,1,0,0,Healer,512,512,0,0,0,0,,"그녀의 이름에는 악령의 새라는, 굉장히 흉악한 뜻이 담겨 있다.
그녀를 본 사람은 아무도 없으나, 사람을 납치해 잡아먹고 후손의 후손까지 저주한다는 소문이 퍼져 있다.
사실은 사람들과 친하게 지내고 싶지만, 그 소문 때문에 그녀가 혼자 있는 걸 택했다는 것은 영원히 알려지지 않을 것이다.

원전: 북미 신화",라쿠나,"[0, 0, 0, 0]"
1034,,오셀로,오셀로,1034,10340,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0]",3,0,4,0,1,,,,,0,100,100,60,91,40,301,455,5,5,0,20,"[10000, 15000, 2000000000]",1,12001,1,0,0,Dealer,512,512,0,0,0,0,,"질투와 분노의 화신.
자신의 연인이 자신을 배신했다고 오해하여, 연인이 잠든 사이를 노려 숨겨뒀던 칼을 꺼냈다.

원전: <오셀로>",죽돌이가싫어,"[0, 0, 0, 0]"
1035,,카라보스,카라보스,1035,10350,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",2,0,2,0,1,,,,,0,100,100,49,75,40,246,375,5,5,0,20,"[10000, 15000, 2000000000]",0,2002,1,0,0,Dealer,512,512,0,0,0,0,,"혼자서 지내는 것을 좋아하는 마법사.
먼 차원에서 벌어진 그녀의 행적 중에는 특이한 것이 있는데, 왕의 연회에서 쫓겨난 뒤 앙심을 품고 공주에게 저주를 걸어, 공주를 영원히 잠들게 한 일화는 유명하다.
그 공주의 이야기는 아직 전해지지 않는다.

원전: <잠자는 숲 속의 미녀>",똥구,"[0, 0, 0, 0]"
1036,,칼리오페,칼리오페,1036,10360,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",5,0,2,0,1,,,,,0,100,100,100,102,40,503,512,5,5,0,20,"[10000, 15000, 2000000000]",0,3006,1,0,0,Healer,512,512,0,0,0,0,,"창작에 몰두하고 있는 소녀.
영감이 없으면 글을 쓸 수가 없다고 주장하고 있지만, 지켜보고 있는 지인의 증언은 조금 다르다.
'영감은 모르겠지만 술과 달콤한 음식이 있으면 어떻게든 쓰긴 하더군요.'

원전: 그리스 신화",엔랑,"[0, 0, 0, 0]"
1037,,메스머,메스머,1037,10370,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0]",8,0,4,0,1,,,,,0,100,100,135,134,40,679,674,5,5,0,20,"[10000, 15000, 2000000000]",1,13004,1,0,0,Healer,512,512,0,0,0,0,,"강력한 최면을 이용해서 상대를 마음대로 조종할 수 있는 최면술사.
귀여운 외모에 속아서 느긋하게 있다가는 어느새 조종당해버린다.
그녀와 마주칠 경우, 귀를 막고 도망치는 것이 상책.

원전: 역사",하야링,"[0, 0, 0, 0]"
1038,,폴터가이스트,폴터가이스트,1038,10380,[0],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",6,1,2,0,1,,,,,0,100,100,86,132,40,433,660,5,5,0,20,"[10000, 15000, 2000000000]",0,2007,1,0,0,Dealer,512,512,0,0,0,0,,"사물을 마음대로 움직일 수 있는 소년.
주변의 사물이 제멋대로 움직이기 때문에 저주 받았다고 손가락질받는다.
가지고 다니는 곰인형만이 유일한 친구라고 한다.

원전: 심령 현상",고혜인,"[0, 0, 0, 0]"
1039,,람세스,람세스,1039,10390,[1],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",8,0,3,0,1,,,,,0,100,100,170,114,40,852,572,5,5,0,20,"[10000, 15000, 2000000000]",0,1006,1,0,0,Tanker,512,512,0,0,0,0,,"죽음을 극복하기 위해서 자신을 스스로 개조한 고대의 왕. 
통칭 불멸왕.
그녀의 집념은 수천 년이 지난 지금에도 계속 이어지고 있다.

원전: 이집트 신화",문어인간,"[0, 0, 0, 0]"
1040,,아카시아,아카시아,1040,10400,[2],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",4,0,1,0,1,,,,,0,100,100,108,73,40,542,369,5,5,0,20,"[10000, 15000, 2000000000]",0,1005,1,0,0,Tanker,512,512,0,0,0,0,,"꽃의 차원에 기록되어 있는 아카시아 꽃의 정령.
무슨 말이든 쉽게 믿고 남을 의심하지 못하는 성격 때문에 주변에서 약간 걱정스러운 취급을 받고 있지만, 본인은 별로 신경 쓰지 않는 듯하다.

원전: 꽃  ",하바네로,"[0, 0, 0, 0]"
1041,,묵자,묵자,1041,10410,[3],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",5,0,1,0,1,,,,,0,100,100,103,102,40,516,510,5,5,0,20,"[10000, 15000, 2000000000]",0,3001,1,0,0,Healer,512,512,0,0,0,0,,"아카데메이아의 학자.
조용하고 온화한 성격으로 모두에게 존경받는다. 
약한 자를 괴롭히는 것을 두고 보지 못하는 정의로운 성격의 소유자.
담당 학문은 수성전. 그녀가 방어하고 있는 성은 병력의 20배를 가져와야 공략이 가능하다고 알려져 있다. 

원전: 중국사",죽돌이가싫어,"[0, 0, 0, 0]"
1042,교복,불가사리,교복불가사리,1042,10420,[5],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",6,0,1,0,1,,,,,0,100,100,142,95,40,713,477,5,5,0,20,"[10000, 15000, 2000000000]",0,1007,1,0,0,Tanker,512,512,0,0,0,0,,"학생들의 차원에서 발견된, 특이한 식성을 가진 소녀.
강철로 된 것들은 뭐든 먹어치우는 튼튼한 위장을 가졌다.
가방에 이것저것 다양한 고철들을 채워놓고 군것질을 하는 것이 취미.
학교 기물을 먹어치우는 바람에 몇번이나 주의를 받고 있지만, 그녀의 식욕을 멈추게 할 방법이 있는 것 같진 않다.

원전: 한국 전설",죽돌이가싫어,"[0, 0, 0, 0]"
1043,,아테나,아테나,1043,10430,[4],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",4,0,2,0,1,,,,,0,100,100,86,88,40,432,441,5,5,0,20,"[10000, 15000, 2000000000]",0,3007,1,0,0,Healer,512,512,0,0,0,0,,"마법소녀의 차원에서 발견된 악의 세력 중 하나.
마법소녀 비너스의 숙적으로 알려져 있었으나, 비너스가 정체불명의 매지컬 파워를 얻은 뒤로 어쩐지 밀리는 모습을 보인다.

원전: 그리스 신화",끌,"[0, 0, 0, 0]"
1044,,자바워크,자바워크,1044,10440,[6],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",5,1,3,0,1,,,,,0,100,100,124,82,40,621,412,5,5,0,20,"[10000, 15000, 2000000000]",1,11006,1,0,0,Tanker,512,512,0,0,0,0,,"원더랜드에서 가장 위험하고 강력한 힘을 지녔다고 일컬어지는 공포의 기계괴수.
그러나 전설의 명검 보팔블레이드를 든 용사에게서 치명상을 입은 후, 그의 힘은 점점 약해졌다.
지금은 상처를 치유하면서 여왕들의 심복으로 일하고 있는 듯 하다.

원전: <이상한 나라의 앨리스>",문어인간,"[0, 0, 0, 0]"
1045,,천지 괴물,천지괴물,1045,10450,[11],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",4,0,1,0,1,,,,,0,100,100,72,110,40,361,551,5,5,0,20,"[10000, 15000, 2000000000]",0,2004,1,0,0,Dealer,512,512,0,0,0,0,,"사람들의 발걸음으로 더럽혀지지 않은 성스러운 산의 정상에 있는, 고요한 산정호수에서 살아가는 괴물.
시끄럽고 복잡한 세상이 싫어서, 인적이 드문 산정호수에 숨어사는 중이다.
가끔 산신령에게 기도를 드리려고 찾아오는 사람들에게 목격되기도 하지만, 자신의 고요한 생활을 깨트린 사람들에게도 아무런 해를 끼치지 않는 착한 괴물이다.

원전: 한국 괴담",정현예,"[0, 0, 0, 0]"
1046,고양이귀,처녀귀신,고양이귀처녀귀신,1046,10460,[13],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",4,0,1,0,1,,,,,0,100,100,92,93,40,464,469,5,5,0,20,"[10000, 15000, 2000000000]",1,13006,1,0,0,Healer,512,512,0,0,0,0,,"모로 박사가 만들어낸 고양이 귀 가스에 노출되어서 고양이 귀가 생겨버린 모습.
이런 귀가 생겨버려서 성불은 이제 물건너 갔다고 슬퍼하고 있지만, 자신을 바라보는 사람들의 눈빛이 끈적하게 바뀐 것은 눈치채지 못하고 있는 것 같다.

원전: 한국 전설",ifreeta,"[0, 0, 0, 0]"
1047,,반금련,반금련,1047,10470,[15],Normal,1,1,,"[11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]",2,0,1,0,1,,,,,0,100,100,51,77,40,259,388,5,5,0,20,"[10000, 15000, 2000000000]",1,12004,1,0,0,Dealer,512,512,0,0,0,0,,"어느 점잖은 양반 댁의 젊은 부인.
무언가 비밀스럽고 즐거운 일을 하고 싶어하지만, 충분한 즐거움을 얻지 못했는지 조금 괴로워하고 있는 듯하다.
그래서 자신에게 즐거움을 줄 수 있는 멋진 사람을 찾고 있다는데…… 참고로 이성이든 동성이든 상관 없다는 것 같다.

원전: <금병매>",죤디,"[0, 0, 0, 0]"
1048,,파트라슈,파트라슈,1048,10480,[15],Normal,1,1,,"[11, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0]",2,0,3,0,1,,,,,0,100,100,63,64,40,319,322,5,5,0,20,"[10000, 15000, 2000000000]",0,3005,1,0,0,Healer,512,512,0,0,0,0,,"미대 지망생인 우유배달원 네로에게 헌신적으로 봉사하는 안드로이드.
낮에는 네로의 우유수레를 운전하고, 밤에는 네로의 체온을 지켜주기 위해 몸으로 껴안아 주는 일을 한다.
덕분에 네로는 난방비를 아낄 수 있어서, 미대에 진학할 수 있는 등록금을 조금씩 모으기 시작했다.

원전: <플랜더스의 개>",키사,"[0, 0, 0, 0]"
1049,,코볼트,코볼트,1049,10490,[15],Normal,1,1,,"[11, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0]",2,1,2,0,1,,,,,0,100,100,64,64,40,322,320,5,5,0,20,"[10000, 15000, 2000000000]",1,13004,1,0,0,Healer,512,512,0,0,0,0,,"가장 빛나는 보석을 구하기 위해서는 기꺼이 어두운 땅 속으로 들어가야 한다고 말하는 광부 소년.
어째서인지는 몰라도 그의 땅 파는 속도는 굴삭기와 맞먹는다.
주변의 다른 광부들은 혹시 이 소년이 광산의 요정이 아닐까 추측하고 있다.

원전: 서양 민담",유빈,"[0, 0, 0, 0]"
1050,,나쁜 아이들,나쁜아이들,1050,10500,[19],Etc,1,1,,"[19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1,2,0,1,,,,,0,100,100,94,64,40,474,321,5,5,0,20,"[10000, 15000, 2000000000]",0,1001,1,0,0,Tanker,512,512,0,0,0,0,,"크리스마스의 축제에 나타난 무시무시한 악당들.
제일 앞에서부터 철수, 달수, 영희라고 한다.
크리스마스에 선물을 받지 못하는 악독한 악당들로, 주변을 고통으로 몰아넣는 무시무시한 삼인방이다.

원전: <캐럴>",죽돌이가싫어,"[0, 0, 0, 0]"
1051,,소야,소야,1051,10510,[21],Etc,1,1,,"[19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,1,4,0,1,,,,,0,100,100,148,146,40,741,734,5,5,0,20,"[10000, 15000, 2000000000]",1,13003,1,0,0,Healer,512,512,0,0,0,0,,"어느 차원에서 왔는지, 무엇을 하는 인물인지 전혀 알려지지 않은 기묘한 아저씨의 데이터.
단지 야릇한 눈빛을 가진 솜씨좋은 사진사임은 분명하다.
자신만의 독특한 이론을 설파하고 다니긴 하는데, 그 내용은 상당히 수상쩍다고 알려져 있다.

원전: ?????",죽돌이가싫어,"[0, 0, 0, 0]"
