name,skilltype,role,Basic,Bonus,static,static2,static3,dynamic,dynamic2,dynamic3,Static,Static2,Static3,Dynamic,Dynamic2,Dynamic3,probability,duration,cooltime,coolshare,effect
고양 V,active,atk,"해당 마도서의 공격력을 100% 증가시키고, 마도서 공격력의 70% 위력으로 일반 공격한다.","해당 마도서의 공격력을 100% 증가시키고, 마도서 공격력의 102% 위력으로 일반 공격한다",1,0.7,0,,,,1,1.02,0,,,,0,,9,,ntk/nor
고양 VI,active,atk,"해당 마도서의 공격력을 110% 증가시키고, 마도서 공격력의 80% 위력으로 일반 공격한다.","해당 마도서의 공격력을 110% 증가시키고, 마도서 공격력의 115% 위력으로 일반 공격한다",1.1,0.8,0,,,,1.1,1.15,0,,,,0,,9,,ntk/nor
다이너마이트,active,atk,"마도서 공격력의 35% 위력으로 스킬 공격하고, 적에게 8초간 유지되는 신관을 심는다. 신관이 3중첩되면 마도서 공격력의 280% 위력으로 스킬 공격한다","마도서 공격력의 55% 위력으로 스킬 공격하고, 적에게 20초간 유지되는 신관을 심는다. 신관이 3중첩되면 마도서 공격력의 505% 위력으로  스킬 공격한다",0.35,2.8,0,,,,0.55,5.05,0,,,,0,,4,,ski/ski
맹폭 IV,passive,atk,스킬 사용 시 12.5% 확률로 11초간 자신의 스킬 공격력을 125% 증가시킨다.,스킬 사용 시 15% 확률로 11초간 자신의 스킬 공격력을 `1`% 증가시킨다.,1.25,0,0,0.00855,,,1.65,0,0,lea,,,0.15,11,17,1,stk
맹폭 V,passive,atk,스킬 사용 시 12.5% 확률로 11초간 자신의 스킬 공격력을 140% 증가시킨다.,스킬 사용 시 15% 확률로 11초간 자신의 스킬 공격력을 `1`% 증가시킨다.,1.4,0,0,0.00855,,,1.85,0,0,lea,,,0.15,11,17,1,stk
면역 III,active,atk,0.45초간 상태이상 효과를 받지 않는다.,1.2초간 상태이상 효과를 받지 않는다.,0,0,0,,,,0,0,0,,,,0,1.2,12,,
면역 IV,active,atk,0.6초간 상태이상 효과를 받지 않는다.,1.6초간 상태이상 효과를 받지 않는다.,0,0,0,,,,0,0,0,,,,0,1.6,10,,
면역 V,active,atk,0.75초간 상태이상 효과를 받지 않는다.,2초간 상태이상 효과를 받지 않는다.,0,0,0,,,,0,0,0,,,,0,2,8,,
면역 VI,active,atk,"모든 파티원의 모든 마도서 공격력을 n% 증가시키며, 사용 시 0.75초간 상태이상 효과를 받지 않는다.","모든 파티원의 모든 마도서 공격력을 N% 증가시키며, 사용 시 2초간 상태이상 효과를 받지 않는다.",0,0,0,0.0003,,,0,0,0,0.000637,,,0,,,,Atk
분노 I,active,atk,4초간 자신의 일반 공격력을 14% 증가시킨다.,8초간 자신의 일반 공격력을 `1`% 증가시킨다.,0.14,0,0,0.008,,,0.3,0,0,lea,,,0,8,15,1,ntk
분노 II,active,atk,4초간 자신의 일반 공격력을 16% 증가시킨다.,8초간 자신의 일반 공격력을 `1`% 증가시킨다.,0.16,0,0,0.008,,,0.35,0,0,lea,,,0,8,15,1,ntk
분노 III,active,atk,4초간 자신의 일반 공격력을 18% 증가시킨다.,8초간 자신의 일반 공격력을 `1`% 증가시킨다.,0.18,0,0,0.008,,,0.4,0,0,lea,,,0,8,15,1,ntk
분노 IV,active,atk,4초간 자신의 일반 공격력을 20% 증가시킨다.,8초간 자신의 일반 공격력을 `1`% 증가시킨다.,0.2,0,0,0.008,,,0.45,0,0,lea,,,0,8,15,1,ntk
분노 V,active,atk,4초간 자신의 일반 공격력을 22% 증가시킨다.,8초간 자신의 일반 공격력을 `1`% 증가시킨다.,0.22,0,0,0.008,,,0.5,0,0,lea,,,0,8,15,1,ntk
분노 VI,active,atk,4초간 자신의 일반 공격력을 24% 증가시킨다.,8초간 자신의 일반 공격력을 `1`% 증가시킨다.,0.24,0,0,0.008,,,0.55,0,0,lea,,,0,8,15,1,ntk
분쇄 I,active,atk,7초간 적이 받는 피해를 3% 증가시킨다.,7초간 적이 받는 피해를 `1`% 증가시킨다.,0.03,0,0,0.00125,,,0.075,0,0,1.003779,,,0,7,10,1,bun
분쇄 II,active,atk,7초간 적이 받는 피해를 3.6% 증가시킨다.,7초간 적이 받는 피해를 `1`% 증가시킨다.,0.036,0,0,0.00125,,,0.09,0,0,1.003779,,,0,7,10,1,bun
분쇄 III,active,atk,7초간 적이 받는 피해를 4.2% 증가시킨다.,7초간 적이 받는 피해를 `1`% 증가시킨다.,0.042,0,0,0.00125,,,0.105,0,0,1.003779,,,0,7,10,1,bun
분쇄 IV,active,atk,7초간 적이 받는 피해를 4.8% 증가시킨다.,7초간 적이 받는 피해를 `1`% 증가시킨다.,0.048,0,0,0.00125,,,0.12,0,0,1.003779,,,0,7,10,1,bun
분쇄 V,active,atk,7초간 적이 받는 피해를 5.4% 증가시킨다.,7초간 적이 받는 피해를 `1`% 증가시킨다.,0.054,0,0,0.00125,,,0.135,0,0,1.003779,,,0,7,10,1,bun
분쇄 VI,active,atk,7초간 적이 받는 피해를 6% 증가시킨다.,7초간 적이 받는 피해를 `1`% 증가시킨다.,0.06,0,0,0.00125,,,0.15,0,0,1.003779,,,0,7,10,1,bun
속공 I,active,atk,마도서 공격력의 111% 위력으로 스킬 공격한다.,마도서 공격력의 150% 위력으로 스킬 공격한다.,1.11,0,0,,,,1.5,0,0,,,,0,,4,,ski
속공 II,active,atk,마도서 공격력의 119% 위력으로 스킬 공격한다.,마도서 공격력의 158% 위력으로 스킬 공격한다.,1.19,0,0,,,,1.58,0,0,,,,0,,4,,ski
속공 III,active,atk,마도서 공격력의 127% 위력으로 스킬 공격한다.,마도서 공격력의 166% 위력으로 스킬 공격한다.,1.27,0,0,,,,1.66,0,0,,,,0,,4,,ski
속공 IV,active,atk,마도서 공격력의 135% 위력으로 스킬 공격한다.,마도서 공격력의 174% 위력으로 스킬 공격한다.,1.35,0,0,,,,1.74,0,0,,,,0,,4,,ski
속공 V,active,atk,마도서 공격력의 143% 위력으로 스킬 공격한다.,마도서 공격력의 182% 위력으로 스킬 공격한다.,1.43,0,0,,,,1.82,0,0,,,,0,,4,,ski
속공 VI,active,atk,마도서 공격력의 151% 위력으로 스킬 공격한다.,마도서 공격력의 190% 위력으로 스킬 공격한다.,1.51,0,0,,,,1.9,0,0,,,,0,,4,,ski
역공 II,active,atk,1초 이내에 받는 공격을 1회 회피하고 마도서 공격력의 150% 위력으로 스킬 공격한다,2초 이내에 받는 공격을 1회 회피하고 마도서 공격력의 390% 위력으로 스킬 공격한다,1.5,0,0,,,,3.9,0,0,,,,0,2,29,1,ski
역공 III,active,atk,1초 이내에 받는 공격을 1회 회피하고 마도서 공격력의 175% 위력으로 스킬 공격한다,2초 이내에 받는 공격을 1회 회피하고 마도서 공격력의 440% 위력으로 스킬 공격한다,1.75,0,0,,,,4.4,0,0,,,,0,2,26,1,ski
역공 IV,active,atk,1초 이내에 받는 공격을 1회 회피하고 마도서 공격력의 200% 위력으로 스킬 공격한다,2초 이내에 받는 공격을 1회 회피하고 마도서 공격력의 490% 위력으로 스킬 공격한다,2,0,0,,,,4.9,0,0,,,,0,2,23,1,ski
역공 V,active,atk,1초 이내에 받는 공격을 1회 회피하고 마도서 공격력의 225% 위력으로 스킬 공격한다,2초 이내에 받는 공격을 1회 회피하고 마도서 공격력의 540% 위력으로 스킬 공격한다,2.25,0,0,,,,5.4,0,0,,,,0,2,20,1,ski
역행 I,active,atk,"10초간 적의 회복 효과를 45%만큼 감소시키고, 적이 받는 피해를 2.2% 증가시킨다.","10초간 적의 회복 효과를 50%만큼 감소시키고, 적이 받는 피해를 5% 증가시킨다.",0.45,0.022,0,,,,0.5,0.05,0,,,,0,10,15,1,/bun
역행 II,active,atk,"10초간 적의 회복 효과를 50%만큼 감소시키고, 적이 받는 피해를 3.2% 증가시킨다.","10초간 적의 회복 효과를 55%만큼 감소시키고, 적이 받는 피해를 7% 증가시킨다.",0.5,0.032,0,,,,0.55,0.07,0,,,,0,10,15,1,/bun
역행 III,active,atk,"10초간 적의 회복 효과를 55%만큼 감소시키고, 적이 받는 피해를 4.3% 증가시킨다.","10초간 적의 회복 효과를 60%만큼 감소시키고, 적이 받는 피해를 9% 증가시킨다.",0.55,0.043,0,,,,0.6,0.09,0,,,,0,10,15,1,/bun
역행 IV,active,atk,"10초간 적의 회복 효과를 60%만큼 감소시키고, 적이 받는 피해를 5.2% 증가시킨다.","10초간 적의 회복 효과를 65%만큼 감소시키고, 적이 받는 피해를 11% 증가시킨다.",0.6,0.052,0,,,,0.65,0.11,0,,,,0,10,15,1,/bun
역행 V,active,atk,"10초간 적의 회복 효과를 65%만큼 감소시키고, 적이 받는 피해를 5.5% 증가시킨다.","10초간 적의 회복 효과를 70%만큼 감소시키고, 적이 받는 피해를 13% 증가시킨다.",0.65,0.055,0,,,,0.7,0.13,0,,,,0,10,15,1,/bun
죽음의 천사,active,atk,"1.5초마다 포탄 장전, 탄이 6중첩되면 TOT포격으로 전환된다. 스킬 사용 시 장전된 모든 포탄과 TOT포격을 소모하여 각각 덱 공격력의 0.75%, 5% 위력으로 일반 공격을 한다.","일정시간(1.5초/9초)마다 포탄 장전, 탄이 6중첩되면 TOT포격으로 전환된다. 스킬 사용 시 장전된 모든 포탄과 TOT포격을 소모하여 각각 덱 공격력의 `1`%, `2`% 위력으로 일반 공격을 한다.",0.0075,0.05,0,0.0009,0.007,,0.015,0.1,0,lea,lea,,0,,6,,nor/nor
진노 I,passive,atk,기본 공격 시 12.5% 확률로 14초간 자신의 스킬 공격력을 220% 증가시킨다.,기본 공격 시 15% 확률로 14초간 자신의 스킬 공격력을 `1`% 증가시킨다.,2.2,0,0,0.0171,,,2.4,0,0,lea,,,0.15,14,18,1,stk
진노 II,passive,atk,기본 공격 시 12.5% 확률로 14초간 자신의 스킬 공격력을 240% 증가시킨다.,기본 공격 시 15% 확률로 14초간 자신의 스킬 공격력을 `1`% 증가시킨다.,2.4,0,0,0.0171,,,2.6,0,0,lea,,,0.15,14,18,1,stk
진노 III,passive,atk,기본 공격 시 12.5% 확률로 14초간 자신의 스킬 공격력을 260% 증가시킨다.,기본 공격 시 15% 확률로 14초간 자신의 스킬 공격력을 `1`% 증가시킨다.,2.6,0,0,0.0171,,,2.8,0,0,lea,,,0.15,14,18,1,stk
진노 IV,passive,atk,기본 공격 시 12.5% 확률로 14초간 자신의 스킬 공격력을 280% 증가시킨다.,기본 공격 시 15% 확률로 14초간 자신의 스킬 공격력을 `1`% 증가시킨다.,2.8,0,0,0.0171,,,3,0,0,lea,,,0.15,14,18,1,stk
진노 V,passive,atk,기본 공격 시 12.5% 확률로 14초간 자신의 스킬 공격력을 300% 증가시킨다.,기본 공격 시 15% 확률로 14초간 자신의 스킬 공격력을 `1`% 증가시킨다.,3,0,0,0.0171,,,3.2,0,0,lea,,,0.15,14,18,1,stk
진노 VI,active,atk,기본 공격 시 12.5% 확률로 14초간 자신의 스킬 공격력을 308% 증가시킨다.,기본 공격 시 15% 확률로 14초간 자신의 스킬 공격력을 `1`% 증가시킨다.,3.08,0,0,0.0171,,,3.28,0,0,lea,,,0.15,14,18,1,stk
차단 I,active,atk,적이 시전 중인 스킬을 차단한다.,적이 시전 중인 스킬을 차단한다.,0,0,0,,,,0,0,0,,,,0,,60,1,
차단 II,active,atk,적이 시전 중인 스킬을 차단한다.,적이 시전 중인 스킬을 차단한다.,0,0,0,,,,0,0,0,,,,0,,55,1,
차단 III,active,atk,적이 시전 중인 스킬을 차단한다.,적이 시전 중인 스킬을 차단한다.,0,0,0,,,,0,0,0,,,,0,,50,1,
차단 IV,active,atk,적이 시전 중인 스킬을 차단한다.,적이 시전 중인 스킬을 차단한다.,0,0,0,,,,0,0,0,,,,0,,45,1,
차단 V,active,atk,적이 시전 중인 스킬을 차단한다.,적이 시전 중인 스킬을 차단한다.,0,0,0,,,,0,0,0,,,,0,,40,1,
차단 VI,active,atk,"모든 파티원의 모든 마도서 공격력을 n% 증가시키며, 사용 시 적이 시전 중인 스킬을 차단한다.","모든 파티원의 모든 마도서 공격력을 N% 증가시키며, 사용 시 적이 시전 중인 스킬을 차단한다.",0,0,0,0.0003,,,0,0,0,0.000637,,,0,,40,1,Atk
타락한 여명,active,atk,마도서 공격력의 270% 위력으로 스킬 공격한다. 6초간 적의 치유량을 65% 감소시키고 받는 피해를 2% 증가시킨다.,마도서 공격력의 325% 위력으로 스킬 공격한다. 8초간 적의 치유량을 70% 감소시키고 받는 피해를 `3`% 증가시킨다.,2.7,0.65,0.02,,,0.000666667,0.7,3.25,0.032,,,0.001463,0,,8,,/ski/bun
폭격 I,active,atk,덱 공격력의 14% 위력으로 스킬 공격한다.,덱 공격력의 `1`% 위력으로 스킬 공격한다.,0.14,0,0,0.0063,,,0.24,0,0,lea,,,0,,15,,ski
폭격 II,active,atk,덱 공격력의 17.5% 위력으로 스킬 공격한다.,덱 공격력의 `1`% 위력으로 스킬 공격한다.,0.175,0,0,0.0063,,,0.275,0,0,lea,,,0,,15,,ski
폭격 III,active,atk,덱 공격력의 21% 위력으로 스킬 공격한다.,덱 공격력의 `1`% 위력으로 스킬 공격한다.,0.21,0,0,0.0063,,,0.31,0,0,lea,,,0,,15,,ski
폭격 IV,active,atk,덱 공격력의 24.5% 위력으로 스킬 공격한다.,덱 공격력의 `1`% 위력으로 스킬 공격한다.,0.245,0,0,0.0063,,,0.345,0,0,lea,,,0,,15,,ski
폭격 V,active,atk,덱 공격력의 28% 위력으로 스킬 공격한다.,덱 공격력의 `1`% 위력으로 스킬 공격한다.,0.28,0,0,0.0063,,,0.38,0,0,lea,,,0,,15,,ski
폭격 VI,active,atk,덱 공격력의 31.5% 위력으로 스킬 공격한다.,덱 공격력의 `1`% 위력으로 스킬 공격한다.,0.315,0,0,0.0063,,,0.415,0,0,lea,,,0,,15,,ski
폭쇄천력: 破,active,atk,적에게 마도서 공격력의 45% 위력으로 7회 스킬 공격 후 250% 위력의 스킬 공격을 가한다. 스킬을 사용한 뒤 5초 안에 공격을 받으면 폭쇄천력의 대미지가 1.5초 동안 25%상승한다.,적에게 마도서 공격력의 60% 위력으로 7회 스킬 공격 후 475% 위력의 스킬 공격을 가한다. 스킬을 사용한 뒤 5초 안에 공격을 받으면 폭쇄천력의 대미지가 5초 동안 50%상승한다.,5.65,0,0,,,,8.95,0,0,,,,0,7,13,,ski
행운 I,passive,atk,기본 공격 시 20% 확률로 덱 공격력의 40% 위력으로 일반 공격한다.,기본 공격 시 20% 확률로 덱 공격력의 `1`% 위력으로 일반 공격한다.,0.4,0,0,0.00648,,,0.72,0,0,lea,,,0.2,,14,,nor
행운 II,passive,atk,기본 공격 시 20% 확률로 덱 공격력의 55% 위력으로 일반 공격한다.,기본 공격 시 20% 확률로 덱 공격력의 `1`% 위력으로 일반 공격한다.,0.55,0,0,0.00648,,,0.84,0,0,lea,,,0.2,,14,,nor
행운 III,passive,atk,기본 공격 시 20% 확률로 덱 공격력의 70% 위력으로 일반 공격한다.,기본 공격 시 20% 확률로 덱 공격력의 `1`% 위력으로 일반 공격한다.,0.7,0,0,0.00648,,,0.96,0,0,lea,,,0.2,,14,,nor
행운 IV,passive,atk,기본 공격 시 20% 확률로 덱 공격력의 85% 위력으로 일반 공격한다.,기본 공격 시 20% 확률로 덱 공격력의 `1`% 위력으로 일반 공격한다.,0.85,0,0,0.00648,,,1.08,0,0,lea,,,0.2,,14,,nor
행운 V,passive,atk,기본 공격 시 20% 확률로 덱 공격력의 100% 위력으로 일반 공격한다.,기본 공격 시 20% 확률로 덱 공격력의 `1`% 위력으로 일반 공격한다.,1,0,0,0.00648,,,1.2,0,0,lea,,,0.2,,14,,nor
행운 VI,passive,atk,기본 공격 시 20% 확률로 덱 공격력의 110% 위력으로 일반 공격한다.,기본 공격 시 20% 확률로 덱 공격력의 `1`% 위력으로 일반 공격한다.,1.1,0,0,0.00648,,,1.32,0,0,lea,,,0.2,,14,,nor
흡혈 I,active,atk,"마도서 공격력의 180% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.","마도서 공격력의 240% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.",1.8,0.05,0,,,,2.4,0.05,0,,,,0,,10,,ski/hea
흡혈 II,active,atk,"마도서 공격력의 195% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.","마도서 공격력의 265% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.",1.95,0.05,0,,,,2.65,0.05,0,,,,0,,10,,ski/hea
흡혈 III,active,atk,"마도서 공격력의 210% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.","마도서 공격력의 290% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.",2.1,0.05,0,,,,2.9,0.05,0,,,,0,,10,,ski/hea
흡혈 IV,active,atk,"마도서 공격력의 225% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.","마도서 공격력의 315% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.",2.25,0.05,0,,,,3.15,0.05,0,,,,0,,10,,ski/hea
흡혈 V,active,atk,"마도서 공격력의 240% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.","마도서 공격력의 340% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.",2.4,0.05,0,,,,3.4,0.05,0,,,,0,,10,,ski/hea
흡혈 VI,active,atk,"마도서 공격력의 255% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.","마도서 공격력의 365% 위력으로 스킬 공격하고, 피해량의 5%만큼 체력을 회복한다.",2.55,0.05,0,,,,3.65,0.05,0,,,,0,,10,,ski/hea
