ZoneNumber,ZoneName,TagName,ZoneSubType,EnterSp,AlwaysVisible,LimitLevel,PlayAgain,AvatarType,DailyCountExist,DailyGroup,DailyBossExist,DailyFactionCheck,ExpGain,MoneyGain,FirstClearItem,FirstClearCard,FirstClearReward,ClearItem,ClearCard,ClearReward,FirstClearExp,FirstClearEventPoint,FirstClearMoney,ClearExp,ClearEventPoint,ClearMoney,BossInfo,BossReward,PopupId,PopupArgs,Percent_EventPoint,Event_EventPoint,Percent_ExpLucky,Event_ExpLucky,Percent_MoneyLucky,Event_MoneyLucky,Percent_Raid,Event_Raid,Percent_Raid2,Event_Raid2,Percent_BonusSP,Event_BonusSP,Percent_ItemFix,Event_ItemFix,Percent_ItemFix2,Event_ItemFix2,Percent_ItemFix3,Event_ItemFix3,Percent_ItemRandom,Event_ItemRandom,Percent_Piece,Event_Piece,Percent_Friend,Event_Friend,Percent_PvP,Event_PvP,Percent_RandomBranch,Event_RandomBranch,Percent_Non,MapFileName,ThumbnailName,BgmName,BattleImage,ZoneInfoDesc,AdventureSkipConditionStat
18,젤리틴 마을3,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 6]",75,"[11019, 6]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[1],200,[0],0,[1],0,"[4001, 4008]",520,Fantasytown_1.json,thumb_fantasytown_scene,bgm_adv_town,FantasyTown_battle,,0
19,모로 박사의 섬1,,2,10,1,12,1,1,0,0,0,0,0,0,"[14, 1]",0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 7]",75,"[11019, 7]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_1.json,thumb_bridgewater_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
20,모로 박사의 섬2,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 7]",75,"[11019, 7]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_1.json,thumb_bridgewater_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
21,모로 박사의 섬3,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 8]",75,"[11019, 8]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_1.json,thumb_bridgewater_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
22,모로 박사의 섬4,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,"[1, 2]",0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 8]",75,"[11019, 9]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_1.json,thumb_bridgewater_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
23,모로 박사의 섬5,,2,10,1,12,1,1,0,0,0,0,0,0,"[1, 1]",0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 9]",75,"[11019, 9]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_1.json,thumb_bridgewater_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
24,모로 박사의 섬6,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 9]",75,"[11019, 9]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_2.json,thumb_bridgewater2_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
25,모로 박사의 섬7,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 9]",75,"[11019, 9]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_2.json,thumb_bridgewater2_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
26,모로 박사의 섬8,,2,10,1,12,1,1,0,0,0,0,0,0,"[14, 1]",0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 9]",75,"[11019, 9]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_1.json,thumb_bridgewater_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
27,모로 박사의 섬9,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 10]",75,"[11019, 10]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_1.json,thumb_bridgewater_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
28,모로 박사의 섬10,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 10]",75,"[11019, 10]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Bridgewater_1.json,thumb_bridgewater_scene,bgm_adv_outdoors,BridgeWater_Battle,,0
29,도서관 응접실,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 10]",75,"[11019, 10]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Temple_1.json,thumb_temple_scene,bgm_adv_gag,Library_battle,,0
30,도서관 서쪽창고,,2,10,1,12,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],555,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11005, 10]",75,"[11019, 10]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",520,Ruins_1.json,thumb_ruins_scene,bgm_adv_indoors,Library_battle,,0
31,겨울 숲1,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11021, 11]",0,[],5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
32,겨울 숲2,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11021, 11]",0,[],5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
33,겨울 숲3,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11021, 11]",0,[],5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
34,겨울 숲4,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,"[2, 2]",0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11021, 11]",0,[],5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
35,겨울 숲5,,2,10,1,17,1,1,0,0,0,0,0,0,"[1, 1]",0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11021, 11]",0,[],5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
36,에리스의 집무실,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11021, 11]",0,[],5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[2],200,[0],0,[1],0,"[4001, 4008]",570,Librarytower_1.json,thumb_librarytower_scene,bgm_adv_indoors,LibraryTower_battle,,0
37,빙하의 장막1,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11023, 12]",0,[],5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
38,빙하의 장막2,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11023, 12]",0,[],5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
39,빙하의 장막3,,2,10,1,17,1,1,0,0,0,0,0,0,"[14, 1]",0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11023, 12]",0,[],5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
40,빙하의 장막4,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11023, 12]",0,[],5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
41,빙하의 장막5,,2,10,1,17,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],555,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",100,"[11023, 12]",0,[],5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",570,Winterforest_1.json,thumb_winterforest_scene,bgm_adv_outdoors,WinterForest_battle,,0
42,도서관 응접실1,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 11]",75,"[11011, 11]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
43,도서관 응접실2,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 11]",75,"[11011, 11]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
44,루드헤르 다리1,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 11]",75,"[11011, 11]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_1.json,thumb_bridgeland_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
45,루드헤르 다리2,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 11]",75,"[11011, 11]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_1.json,thumb_bridgeland_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
46,루드헤르 다리3,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 12]",75,"[11011, 12]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_2.json,thumb_bridgeland2_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
47,루드헤르 다리4,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 12]",75,"[11011, 12]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_2.json,thumb_bridgeland2_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
48,루드헤르 다리5,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 12]",75,"[11011, 12]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_2.json,thumb_bridgeland2_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
49,루드헤르 다리6,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 12]",75,"[11011, 12]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_3.json,thumb_bridgeland2_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
50,루드헤르 다리7,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 12]",75,"[11011, 12]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_1.json,thumb_bridgeland_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
51,루드헤르 다리8,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 12]",75,"[11011, 12]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_1.json,thumb_bridgeland_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
52,루드헤르 다리9,,2,10,1,20,1,1,0,0,0,0,0,0,"[1, 1]",0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 12]",75,"[11011, 12]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_1.json,thumb_bridgeland_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
53,루드헤르 다리10,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 12]",75,"[11011, 12]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Bridgeland_1.json,thumb_bridgeland_scene,bgm_adv_outdoors,BridgeLand_Battle,,0
54,도서관 접견로1,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 13]",75,"[11011, 13]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
55,도서관 접견로2,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 13]",75,"[11011, 13]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
56,도서관 접견로3,,2,10,1,20,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],555,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11006, 13]",75,"[11011, 13]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[3],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
57,도서관 휴게실1,,2,10,1,24,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11016, 12]",75,"[11013, 12]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[4],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
58,도서관 휴게실2,,2,10,1,24,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11016, 12]",75,"[11013, 12]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[4],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
59,도서관 휴게실3,,2,10,1,24,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11016, 12]",75,"[11013, 12]",5,"[5, 10]",0,[],25,"[3001, 1]",0,[],0,[],0,[4],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
60,도서관 휴게실4,,2,10,1,24,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11016, 12]",75,"[11013, 12]",5,"[5, 10]",0,[],25,"[4001, 1]",0,[],0,[],0,[4],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
61,도서관 휴게실5,,2,10,1,24,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11016, 12]",75,"[11013, 12]",5,"[5, 10]",0,[],25,"[1001, 1]",0,[],0,[],0,[4],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
62,도서관 휴게실6,,2,10,1,24,1,1,0,0,0,0,0,0,[0],0,[0],[0],0,[0],155,0,800,155,0,50,[0],0,0,"[5, 5]",0,[],50,"[30, 50]",50,"[50, 100]",75,"[11016, 13]",75,"[11013, 13]",5,"[5, 10]",0,[],25,"[2001, 1]",0,[],0,[],0,[4],200,[0],0,[1],0,"[4001, 4008]",520,Library_1.json,thumb_library_scene,bgm_adv_indoors,Library_battle,,0
