Name,skilltype,role,Basic,Bonus
우정 III,active,spr,모든 파티원의 체력을 마도서 정신력의 52% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 69% 위력으로 회복시킨다.
우정 IV,active,spr,모든 파티원의 체력을 마도서 정신력의 58% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 77% 위력으로 회복시킨다.
우정 V,active,spr,모든 파티원의 체력을 마도서 정신력의 64% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 85% 위력으로 회복시킨다.
우정 VI,active,spr,모든 파티원의 체력을 마도서 정신력의 70% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 98% 위력으로 회복시킨다.
정화 I,active,spr,모든 파티원의 상태이상 효과를 1개 해제한다.,모든 파티원의 상태이상 효과를 1개 해제한다.
정화 II,active,spr,모든 파티원의 상태이상 효과를 1개 해제한다.,모든 파티원의 상태이상 효과를 1개 해제한다.
정화 III,active,spr,모든 파티원의 상태이상 효과를 1개 해제한다.,모든 파티원의 상태이상 효과를 1개 해제한다.
정화 IV,active,spr,모든 파티원의 상태이상 효과를 1개 해제한다.,모든 파티원의 상태이상 효과를 1개 해제한다.
정화 V,active,spr,모든 파티원의 상태이상 효과를 1개 해제한다.,모든 파티원의 상태이상 효과를 1개 해제한다.
조작 III,active,spr,"10분간 마도서 정신력의 6%만큼 모든 마도서의 공격력을, 12%만큼 정신력을 상승시키는 효과를 모든 파티원에게 걸어준다.","10분간 마도서 정신력의 8%만큼 모든 마도서의 공격력을, 16%만큼 정신력을 상승시키는 효과를 모든 파티원에게 걸어준다."
조작 IV,active,spr,"10분간 마도서 정신력의 8%만큼 모든 마도서의 공격력을, 16%만큼 정신력을 상승시키는 효과를 모든 파티원에게 걸어준다.","10분간 마도서 정신력의 10%만큼 모든 마도서의 공격력을, 20%만큼 정신력을 상승시키는 효과를 모든 파티원에게 걸어준다."
조작 V,active,spr,"10분간 마도서 정신력의 10%만큼 모든 마도서의 공격력을, 20%만큼 정신력을 상승시키는 효과를 모든 파티원에게 걸어준다.","10분간 마도서 정신력의 12%만큼 모든 마도서의 공격력을, 24%만큼 정신력을 상승시키는 효과를 모든 파티원에게 걸어준다."
징벌 I,active,spr,"대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 80% 위력으로 공격하고, 입힌 피해의 45% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다.","대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 112% 위력으로 공격하고, 입힌 피해의 44% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다."
징벌 II,active,spr,"대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 90% 위력으로 공격하고, 입힌 피해의 45% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다.","대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 124% 위력으로 공격하고, 입힌 피해의 44% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다."
징벌 III,active,spr,"대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 100% 위력으로 공격하고, 입힌 피해의 45% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다.","대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 136% 위력으로 공격하고, 입힌 피해의 44% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다."
징벌 IV,active,spr,"대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 110% 위력으로 공격하고, 입힌 피해의 45% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다.","대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 148% 위력으로 공격하고, 입힌 피해의 44% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다."
징벌 V,active,spr,"대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 120% 위력으로 공격하고, 입힌 피해의 45% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다.","대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 160% 위력으로 공격하고, 입힌 피해의 44% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다."
징벌 VI,active,spr,"대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 122% 위력으로 공격하고, 입힌 피해의 45% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다.","대상에 걸려있는 참회를 소모하여 참회가 줄 수 있는 총 피해의 162% 위력으로 공격하고, 입힌 피해의 44% 위력으로 가장 낮은 체력을 지닌 파티원을 회복시킨다."
참회 I,active,spr,10초간 2초마다 마도서 정신력의 30% 위력으로 고정 피해를 준다.,10초간 2초마다 마도서 정신력의 40% 위력으로 고정 피해를 준다.
참회 II,active,spr,10초간 2초마다 마도서 정신력의 35% 위력으로 고정 피해를 준다.,10초간 2초마다 마도서 정신력의 45% 위력으로 고정 피해를 준다.
참회 III,active,spr,10초간 2초마다 마도서 정신력의 40% 위력으로 고정 피해를 준다.,10초간 2초마다 마도서 정신력의 50% 위력으로 고정 피해를 준다.
참회 IV,active,spr,10초간 2초마다 마도서 정신력의 45% 위력으로 고정 피해를 준다.,10초간 2초마다 마도서 정신력의 55% 위력으로 고정 피해를 준다.
참회 V,active,spr,10초간 2초마다 마도서 정신력의 50% 위력으로 고정 피해를 준다.,10초간 2초마다 마도서 정신력의 60% 위력으로 고정 피해를 준다.
참회 VI,active,spr,10초간 2초마다 마도서 정신력의 55% 위력으로 고정 피해를 준다.,10초간 2초마다 마도서 정신력의 65% 위력으로 고정 피해를 준다.
치료 I,active,spr,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 27% 위력으로 회복시킨다.,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 41% 위력으로 회복시킨다.
치료 II,active,spr,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 31.5% 위력으로 회복시킨다.,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 45.5% 위력으로 회복시킨다.
치료 III,active,spr,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 36% 위력으로 회복시킨다.,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 50% 위력으로 회복시킨다.
치료 IV,active,spr,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 40.5% 위력으로 회복시킨다.,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 54.5% 위력으로 회복시킨다.
치료 V,active,spr,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 45% 위력으로 회복시킨다.,가장 낮은 체력을 지닌 파티원을 마도서 정신력의 59% 위력으로 회복시킨다.
치유 I,active,spr,체력이 가장 낮은 파티원을 마도서 정신력의 100% 위력으로 회복시킨다.,체력이 가장 낮은 파티원을 마도서 정신력의 140% 위력으로 회복시킨다.
치유 II,active,spr,체력이 가장 낮은 파티원을 마도서 정신력의 115% 위력으로 회복시킨다.,체력이 가장 낮은 파티원을 마도서 정신력의 155% 위력으로 회복시킨다.
치유 III,active,spr,체력이 가장 낮은 파티원을 마도서 정신력의 130% 위력으로 회복시킨다.,체력이 가장 낮은 파티원을 마도서 정신력의 170% 위력으로 회복시킨다.
치유 IV,active,spr,체력이 가장 낮은 파티원을 마도서 정신력의 145% 위력으로 회복시킨다.,체력이 가장 낮은 파티원을 마도서 정신력의 185% 위력으로 회복시킨다.
치유 V,active,spr,체력이 가장 낮은 파티원을 마도서 정신력의 160% 위력으로 회복시킨다.,체력이 가장 낮은 파티원을 마도서 정신력의 200% 위력으로 회복시킨다.
치유 VI,active,spr,체력이 가장 낮은 파티원을 마도서 정신력의 175% 위력으로 회복시킨다.,체력이 가장 낮은 파티원을 마도서 정신력의 215% 위력으로 회복시킨다.
친목 III,active,spr,모든 파티원의 체력을 마도서 정신력의 11% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 23% 위력으로 회복시킨다.
친목 IV,active,spr,모든 파티원의 체력을 마도서 정신력의 13% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 26% 위력으로 회복시킨다.
친목 V,active,spr,모든 파티원의 체력을 마도서 정신력의 15% 위력으로 회복시킨다.,모든 파티원의 체력을 마도서 정신력의 29% 위력으로 회복시킨다.
평안 I,passive,spr,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 1.4%만큼 추가 회복시킨다.,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 1.75%만큼 추가 회복시킨다.
평안 II,passive,spr,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 1.6%만큼 추가 회복시킨다.,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 1.95%만큼 추가 회복시킨다.
평안 III,passive,spr,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 1.8%만큼 추가 회복시킨다.,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 2.15%만큼 추가 회복시킨다.
평안 IV,passive,spr,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 2%만큼 추가 회복시킨다.,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 2.4%만큼 추가 회복시킨다.
평안 V,passive,spr,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 2.2%만큼 추가 회복시킨다.,회복 역할 스킬로 체력 회복 시 대상에게 8초간 1초마다 회복량의 2.6%만큼 추가 회복시킨다.
해제 I,active,spr,적의 이로운 효과를 1개 해제한다.,적의 이로운 효과를 1개 해제한다.
해제 II,active,spr,적의 이로운 효과를 1개 해제한다.,적의 이로운 효과를 1개 해제한다.
해제 III,active,spr,적의 이로운 효과를 1개 해제한다.,적의 이로운 효과를 1개 해제한다.
해제 IV,active,spr,적의 이로운 효과를 1개 해제한다.,적의 이로운 효과를 1개 해제한다.
해제 V,active,spr,적의 이로운 효과를 1개 해제한다.,적의 이로운 효과를 1개 해제한다.
회개 I,passive,spr,기본 공격 시 35% 확률로 10초간 2초마다 덱 정신력의 2% 위력으로 참회 효과를 준다.,기본 공격 시 35% 확률로 10초간 2초마다 덱 정신력의 3.6% 위력으로 참회 효과를 준다.
회개 III,passive,spr,기본 공격 시 35% 확률로 10초간 2초마다 덱 정신력의 3% 위력으로 참회 효과를 준다.,기본 공격 시 40% 확률로 10초간 2초마다 덱 정신력의 4.8% 위력으로 참회 효과를 준다.
회개 IV,passive,spr,기본 공격 시 35% 확률로 10초간 2초마다 덱 정신력의 3.5% 위력으로 참회 효과를 준다.,기본 공격 시 42.5% 확률로 10초간 2초마다 덱 정신력의 5.4% 위력으로 참회 효과를 준다.
회개 V,passive,spr,기본 공격 시 35% 확률로 10초간 2초마다 덱 정신력의 4% 위력으로 참회 효과를 준다.,기본 공격 시 45% 확률로 10초간 2초마다 덱 정신력의 6% 위력으로 참회 효과를 준다.
